	ModName	FuncName	CodeLine	TotalTime	AvgTime	PctTime	Hits	PctHits	LineText	
85	C:\IG\IG\PRE\FE.frm	Option2_Click	3	0	0	0.00%	0	0.00%	Frame4.Visible = False	
86	C:\IG\IG\PRE\FE.frm	Option2_Click	4	0	0	0.00%	0	0.00%	For I = 0 To 1	
87	C:\IG\IG\PRE\FE.frm	Option2_Click	5	0	0	0.00%	0	0.00%	Text2(I).Visible = False	
88	C:\IG\IG\PRE\FPR.frm	Form_Load	11	0	0	0.00%	0	0.00%	Relax(1) = 1	
89	C:\IG\IG\PRE\FE.frm	Option1_Click	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
90	C:\IG\IG\PRE\FE.frm	DiMalla	17	0	0	0.00%	0	0.00%	Picture1.Line (XU(L1), YV(M1))-(XU(2), YV(M1)), vbCyan	
91	C:\IG\IG\PRE\FE.frm	Combo1_Click	12	0	0	0.00%	0	0.00%	Case Option1(2)	
92	C:\IG\IG\PRE\FE.frm	DiMalla	4	0	0	0.00%	0	0.00%	For J = 2 To M2	
93	C:\IG\IG\PRE\FE.frm	DiMalla	5	0	0	0.00%	0	0.00%	Picture1.Line (XU(I), YV(J))-(XU(I), YV(J + 1)), QBColor(8)	
94	C:\IG\IG\PRE\FE.frm	DiMalla	6	0	0	0.00%	0	0.00%	Picture1.Line (XU(I), YV(J))-(XU(I + 1), YV(J)), QBColor(8)	
95	C:\IG\IG\PRE\FE.frm	DiMalla	7	0	0	0.00%	0	0.00%	Picture1.Line (XU(L1), YV(M1))-(XU(L1), YV(2)), QBColor(8)	
96	C:\IG\IG\PRE\FE.frm	DiMalla	8	0	0	0.00%	0	0.00%	Picture1.Line (XU(2), YV(M1))-(XU(L1), YV(M1)), QBColor(8)	
97	C:\IG\IG\PRE\FE.frm	DiMalla	9	0	0	0.00%	0	0.00%	If Ns > 0 Then	
98	C:\IG\IG\PRE\FE.frm	DiMalla	10	0	0	0.00%	0	0.00%	For K = 1 To Ns	
99	C:\IG\IG\PRE\FE.frm	DiMalla	11	0	0	0.00%	0	0.00%	Picture1.Line (S(0, K), S(1, K))-(S(2, K), S(3, K)), vbMagenta, B	
100	C:\IG\IG\PRE\FE.frm	DiMalla	12	0	0	0.00%	0	0.00%	Case 1	
101	C:\IG\IG\PRE\FE.frm	DiMalla	13	0	0	0.00%	0	0.00%	Picture1.Line (XU(2), YV(2))-(XU(L1), YV(2)), vbCyan	
102	C:\IG\IG\PRE\FE.frm	DiMalla	14	0	0	0.00%	0	0.00%	Case 2	
